"eventid","typeid","longitude","latitude"
1,1,"18.4240553","-33.9248685"
2,1,"18.4240553","-33.9248685"
3,1,"18.4240553","-33.9248685"
4,1,"18.4240553","-33.9248685"
5,1,"18.5998912","-34.0349818"
6,1,"18.4240553","-33.9248685"
7,1,"18.4240553","-33.9248685"
8,1,"18.6285888","-33.8959997"
9,1,"18.4240553","-33.9248685"
10,1,"18.4240553","-33.9248685"
11,1,"18.4240553","-33.9248685"
12,1,"18.4240553","-33.9248685"
13,1,"18.416663","-33.9274451"
14,1,"18.4240553","-33.9248685"
15,1,"18.4240553","-33.9248685"
16,1,"18.4240553","-33.9248685"
17,1,"18.4240553","-33.9248685"
18,1,"-1.594144","47.757069"
19,1,"18.568265","-33.895519"
20,1,"18.4240553","-33.9248685"
21,1,"18.4240553","-33.9248685"
22,1,"18.4240553","-33.9248685"
23,1,"18.4240553","-33.9248685"
24,1,"18.4240553","-33.9248685"
25,1,"18.4240553","-33.9248685"
26,1,"18.4240553","-33.9248685"
27,1,"18.4240553","-33.9248685"
28,1,"18.4240553","-33.9248685"
29,1,"18.4240553","-33.9248685"
30,1,"18.4240553","-33.9248685"
31,1,"18.4240553","-33.9248685"
32,1,"18.4240553","-33.9248685"
33,1,"18.4240553","-33.9248685"
34,1,"18.4240553","-33.9248685"
35,1,"18.4240553","-33.9248685"
36,1,"-123.7706767","45.4389951"
37,1,"18.4240553","-33.9248685"
38,1,"18.5095579","-33.935621"
39,1,"18.4240553","-33.9248685"
40,1,"18.4240553","-33.9248685"
41,1,"18.4240553","-33.9248685"
42,1,"18.4240553","-33.9248685"
43,1,"-82.9168402","41.3298712"
44,1,"18.4240553","-33.9248685"
45,1,"18.4240553","-33.9248685"
46,1,"18.4240553","-33.9248685"
47,1,"18.4240553","-33.9248685"
48,1,"-98.4046884","30.5374708"
49,1,"18.4240553","-33.9248685"
50,1,"18.4240553","-33.9248685"
51,1,"18.4240553","-33.9248685"
52,1,"18.4240553","-33.9248685"
53,1,"18.4240553","-33.9248685"
54,1,"18.4240553","-33.9248685"
55,1,"18.4240553","-33.9248685"
56,1,"18.4240553","-33.9248685"
57,1,"18.416663","-33.9274451"
58,1,"18.4240553","-33.9248685"
59,1,"-123.7706767","45.4389951"
60,1,"18.5998912","-34.0349818"
61,1,"18.4240553","-33.9248685"
62,1,"18.4240553","-33.9248685"
63,1,"18.4240553","-33.9248685"
64,1,"18.4240553","-33.9248685"
65,1,"18.5846423","-34.0381837"
66,1,"18.4240553","-33.9248685"
67,1,"18.4240553","-33.9248685"
68,1,"18.4240553","-33.9248685"
69,1,"18.4240553","-33.9248685"
70,1,"18.4240553","-33.9248685"
71,1,"18.4240553","-33.9248685"
72,1,"18.4240553","-33.9248685"
73,1,"18.4240553","-33.9248685"
74,1,"18.4240553","-33.9248685"
75,1,"18.4240553","-33.9248685"
76,1,"18.4240553","-33.9248685"
77,1,"18.4240553","-33.9248685"
78,1,"18.45471","-34.02302"
79,1,"18.40288","-33.9366691"
80,1,"18.4240553","-33.9248685"
81,1,"18.4240553","-33.9248685"
82,1,"18.7923921","-34.0536482"
83,1,"18.4240553","-33.9248685"
84,1,"18.4240553","-33.9248685"
85,1,"18.4240553","-33.9248685"
86,1,"18.576466","-33.9662279"
87,1,"18.854027","-34.139832"
88,1,"18.726384","-33.865215"
89,1,"18.4240553","-33.9248685"
90,1,"18.4240553","-33.9248685"
91,1,"18.4240553","-33.9248685"
92,1,"18.4240553","-33.9248685"
93,1,"18.4240553","-33.9248685"
94,1,"18.4240553","-33.9248685"
95,1,"18.4240553","-33.9248685"
96,1,"-81.4065011","41.6397696"
97,1,"18.4240553","-33.9248685"
98,1,"18.4240553","-33.9248685"
99,1,"18.4240553","-33.9248685"
100,1,"18.4240553","-33.9248685"
101,1,"18.4240553","-33.9248685"
102,1,"18.4240553","-33.9248685"
103,1,"18.4240553","-33.9248685"
104,1,"18.854027","-34.139832"
105,1,"18.5846423","-34.0381837"
106,1,"18.4240553","-33.9248685"
107,1,"18.4240553","-33.9248685"
108,1,"18.4240553","-33.9248685"
109,1,"18.576466","-33.9662279"
110,1,"18.4240553","-33.9248685"
111,1,"18.4240553","-33.9248685"
112,1,"18.4240553","-33.9248685"
113,1,"-123.7706767","45.4389951"
114,1,"18.726384","-33.865215"
115,1,"18.4240553","-33.9248685"
116,1,"18.4240553","-33.9248685"
117,1,"18.4240553","-33.9248685"
118,1,"18.4240553","-33.9248685"
119,1,"18.4240553","-33.9248685"
120,1,"18.4240553","-33.9248685"
121,1,"18.4240553","-33.9248685"
122,1,"18.4240553","-33.9248685"
123,1,"-81.4065011","41.6397696"
124,1,"18.4240553","-33.9248685"
125,1,"18.4240553","-33.9248685"
126,1,"18.4240553","-33.9248685"
127,1,"18.4240553","-33.9248685"
128,1,"18.4240553","-33.9248685"
129,1,"18.4240553","-33.9248685"
130,1,"18.4240553","-33.9248685"
131,1,"18.4240553","-33.9248685"
132,1,"18.4240553","-33.9248685"
133,1,"18.4240553","-33.9248685"
134,1,"18.4240553","-33.9248685"
135,1,"18.4240553","-33.9248685"
136,1,"18.4240553","-33.9248685"
137,1,"18.4240553","-33.9248685"
138,1,"18.4240553","-33.9248685"
139,1,"18.4240553","-33.9248685"
140,1,"18.4240553","-33.9248685"
141,1,"18.4240553","-33.9248685"
142,1,"18.4240553","-33.9248685"
143,1,"18.7923921","-34.0536482"
144,1,"18.4240553","-33.9248685"
145,1,"18.6463268","-33.8332137"
146,1,"18.4240553","-33.9248685"
147,1,"18.4240553","-33.9248685"
148,1,"18.4240553","-33.9248685"
149,1,"18.4240553","-33.9248685"
150,1,"-75.2004528","38.3400528"
